Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
DJL98120902,-34.58966667,19.43,6.87,29.51,363.87,0.14,0.41,3.67
VCH98120901,-34.6,19.39833333,6.87,29.51,363.87,0.14,0.41,3.67
LYM99012601,-34.095,18.414,11.12,25.9,374.41,0.22,0.34,3.64
LYM98092401,-34.027,21.207,2.65,37.4,326.95,0.03,0.41,4.69
DOA98102105,-33.72516667,23.05533333,-0.79,38.52,516.8,0.11,0.48,3.55
DJL99030408,-33.31583333,19.1725,0.23,36.51,527.34,0.21,0.47,3.48
IEB99051303,-34.07816667,18.386,11.12,25.9,374.41,0.22,0.34,3.64
IEB99051304,-34.077,18.39166667,11.12,25.9,374.41,0.22,0.34,3.64
IEB99042101,-34.31266667,18.42666667,12.55,20.72,469.34,0,0.49,3.69
AWA99061603,-33.95116667,21.73633333,4.23,35.73,305.86,0.03,0.41,4.22
VCH98041206,-33.54316667,19.14283333,0.23,36.51,527.34,0.21,0.47,3.48
DJL99060913,-32.8825,18.699,2.38,39.8,500.98,0.19,0.41,3.66
DOA99063004,-34.418,19.54133333,6.87,29.51,363.87,0.14,0.41,3.67
DOA99063005,-34.41666667,19.54733333,6.87,29.51,363.87,0.14,0.41,3.67
LYM99080803,-34.07883333,19.60866667,1.57,36.73,458.79,0.16,0.45,3.73
DJL99072105,-33.909,18.78666667,6.06,33.55,506.25,0.19,0.45,3.49
DJL99090303,-34.22666667,19.41233333,1.57,36.73,458.79,0.16,0.45,3.73
DJL99090304,-34.21583333,19.41983333,1.57,36.73,458.79,0.16,0.45,3.73
DJL99090305,-34.22383333,19.39416667,1.57,36.73,458.79,0.16,0.45,3.73
LYM99090303,-34.22383333,19.40866667,1.57,36.73,458.79,0.16,0.45,3.73
NGF99080805,-33.57033333,19.671,0.23,36.51,527.34,0.21,0.47,3.48
NGF99080806,-33.57033333,19.67866667,0.23,36.51,527.34,0.21,0.47,3.48
NGF99082202,-33.46666667,27,7.65,38.8,685.55,0.28,0.41,4.34
NGF99092417,-33.0555,19.09183333,-1.39,35.69,564.26,0.2,0.49,3.73
LYM99092907,-34.01533333,19.75483333,1.82,38.84,427.15,0.1,0.43,4.03
SMR99092902,-34.01166667,19.7135,1.82,38.84,427.15,0.1,0.43,4.03
DJL99092906,-34.01033333,19.73933333,1.82,38.84,427.15,0.1,0.43,4.03
DOA99092401,-33.0585,19.085,-1.39,35.69,564.26,0.2,0.49,3.73
DOA99102101,-33.569,19.135,0.23,36.51,527.34,0.21,0.47,3.48
AWA99100501,-32.87933333,19.22733333,-1.39,35.69,564.26,0.2,0.49,3.73
AWA99100803,-32.6145,19.141,-0.63,37.38,474.61,0.11,0.48,3.89
AWA99100804,-32.61883333,19.1425,-0.63,37.38,474.61,0.11,0.48,3.89
DOA99102708,-33.65633333,21.5795,0.71,40,390.23,0.05,0.45,3.94
DOA99102912,-34.39066667,20.67416667,8.98,29.13,237.3,0.02,0.37,4.33
DOA99102901,-34.39466667,20.67466667,8.98,29.13,237.3,0.02,0.37,4.33
DOA99102902,-34.39766667,20.67516667,8.98,29.13,237.3,0.02,0.37,4.33
GED99112101,-34.00583333,18.35666667,11.12,25.9,374.41,0.22,0.34,3.64
LKA99091801,-34.05233333,18.3705,11.12,25.9,374.41,0.22,0.34,3.64
LKA99091804,-34.03783333,18.38866667,11.12,25.9,374.41,0.22,0.34,3.64
DOA99112302,-33.87516667,25.257,8.8,34.44,421.88,0.15,0.43,2.87
DOA99112320,-33.96933333,24.79033333,8.8,34.44,421.88,0.15,0.43,2.87
DOA99112323,-33.94766667,24.8005,8.8,34.44,421.88,0.15,0.43,2.87
DOA99112331,-33.84016667,24.936,8.8,34.44,421.88,0.15,0.43,2.87
DOA99112402,-33.95183333,25.55166667,10.15,32.73,495.7,0.19,0.41,4.16
DOA99112510,-33.33783333,26.1575,5.97,39.13,711.91,0.3,0.42,3.99
DOA99120705,-33.58866667,19.64083333,0.23,36.51,527.34,0.21,0.47,3.48
LYMY0021506,-33.40816667,22.76183333,0.52,38.33,406.05,0.07,0.43,3.51
SMR99120110,-33.86266667,18.908,6.06,33.55,506.25,0.19,0.45,3.49
NGFY0022013,-34.22716667,21.60933333,4.23,35.73,305.86,0.03,0.41,4.22
NGFY0030512,-33.7825,20.1055,1.82,38.84,427.15,0.1,0.43,4.03
LYMY0030111,-32.9135,19.11566667,-1.39,35.69,564.26,0.2,0.49,3.73
SMRY0041202,-33.977,19.72116667,1.82,38.84,427.15,0.1,0.43,4.03
SMRY0041209,-33.9425,19.74733333,1.82,38.84,427.15,0.1,0.43,4.03
NGFY0070101,-34.25816667,18.45533333,10.17,24.48,474.61,0.22,0.42,3.61
NGFY0072004,-34.58333333,19.8955,5.49,30.49,374.41,0.13,0.4,4.09
NGFY0072010,-34.57616667,19.8335,5.49,30.49,374.41,0.13,0.4,4.09
DJLY0060209,-34.02883333,19.3795,1.57,36.73,458.79,0.16,0.45,3.73
SMRY0081613,-34.67883333,19.699,5.49,30.49,374.41,0.13,0.4,4.09
NGFY0082606,-33.74733333,19.84333333,-1.1,36.98,622.27,0.15,0.55,3.74
NGFY0102618,-32.2065,19.08366667,0.27,39.82,363.87,0.04,0.42,4.05
DJLY0101908,-33.60266667,19.30916667,0.23,36.51,527.34,0.21,0.47,3.48
WMPY0111204,-33.00166667,19.3145,-1.39,35.69,564.26,0.2,0.49,3.73
SMRY0111507,-32.49766667,18.66716667,1.84,38.63,379.69,0.15,0.41,3.65
DOAY0110903,-34.32033333,19.16183333,6.87,29.51,363.87,0.14,0.41,3.67
DOAY0110905,-34.31083333,19.165,6.87,29.51,363.87,0.14,0.41,3.67
DOAY0112508,-34.063,19.536,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0112510,-34.05983333,19.54,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0112518,-34.05633333,19.53166667,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0112911,-34.0785,19.57633333,1.57,36.73,458.79,0.16,0.45,3.73
NGFY0120610,-34.034,18.32833333,11.12,25.9,374.41,0.22,0.34,3.64
DJLY0110208,-32.64183333,19.13116667,-0.63,37.38,474.61,0.11,0.48,3.89
DJLY0110209,-32.64916667,19.151,-0.63,37.38,474.61,0.11,0.48,3.89
DJLY0110211,-32.62616667,19.14033333,-0.63,37.38,474.61,0.11,0.48,3.89
DOAY0120606,-34.0735,19.54666667,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0121002,-34.10083333,19.41283333,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0121003,-34.095,19.4205,1.57,36.73,458.79,0.16,0.45,3.73
DOAY0121005,-34.07616667,19.41283333,1.57,36.73,458.79,0.16,0.45,3.73
NGFY0122810,-33.62616667,24.74733333,2.58,42.57,511.52,0.16,0.41,3.06
DOAY1020617,-34.38866667,20.69416667,8.98,29.13,237.3,0.02,0.37,4.33
DOAY1020705,-34.37116667,20.65166667,8.98,29.13,237.3,0.02,0.37,4.33
SMRY1011706,-33.49683333,19.463,0.23,36.51,527.34,0.21,0.47,3.48
PMRY0121403,-33.736,22.84966667,-0.79,38.52,516.8,0.11,0.48,3.55
PMRY0121410,-33.74233333,22.83383333,-0.79,38.52,516.8,0.11,0.48,3.55
PMRY0121411,-33.7405,22.829,-0.79,38.52,516.8,0.11,0.48,3.55
SHRY0122803,-33.84316667,24.91766667,8.8,34.44,421.88,0.15,0.43,2.87
