OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
NSC94120401,PRMUND,34.01716667,-34.01716667,18.37383333,25.9,11.12,374.41,0.22,0.34,3.64
NOG94111201,PRMUND,33.88616667,-33.88616667,25.264,34.44,8.8,421.88,0.15,0.43,2.87
NOG94111202,PRMUND,33.88816667,-33.88816667,25.26616667,34.44,8.8,421.88,0.15,0.43,2.87
NOG94111203,PRMUND,33.89066667,-33.89066667,25.26633333,34.44,8.8,421.88,0.15,0.43,2.87
NOG94111204,PRMUND,33.88766667,-33.88766667,25.26833333,34.44,8.8,421.88,0.15,0.43,2.87
DFJ95012301,PRMUND,33.88433333,-33.88433333,25.25016667,34.44,8.8,421.88,0.15,0.43,2.87
PVR95012201,PRMUND,33.95033333,-33.95033333,22.606,30.83,7.26,348.05,0.08,0.43,2.07
AGR95040515,PRMUND,34.37933333,-34.37933333,19.40216667,29.51,6.87,363.87,0.14,0.41,3.67
AGR95040523,PRMUND,34.39033333,-34.39033333,19.35216667,29.51,6.87,363.87,0.14,0.41,3.67
AKS95040203,PRMUND,34.29466667,-34.29466667,18.8505,24.48,10.17,474.61,0.22,0.42,3.61
WIJ95031903,PRMUND,33.90333333,-33.90333333,25.21,34.44,8.8,421.88,0.15,0.43,2.87
WIJ95032407,PRMUND,33.99833333,-33.99833333,24.175,35.12,6.64,427.15,0.16,0.44,2.84
WIJ95032408,PRMUND,33.96833333,-33.96833333,23.93333333,29.69,8.42,390.23,0.17,0.44,2.8
WIJ95032409,PRMUND,33.96833333,-33.96833333,23.65666667,29.69,8.42,390.23,0.17,0.44,2.8
WIJ95032410,PRMUND,33.93916667,-33.93916667,23.55166667,29.69,8.42,390.23,0.17,0.44,2.8
WIJ95032411,PRMUND,33.93333333,-33.93333333,23.53666667,29.69,8.42,390.23,0.17,0.44,2.8
WIJ95032502,PRMUND,33.84333333,-33.84333333,22.66166667,30.83,7.26,348.05,0.08,0.43,2.07
WIJ95032503,PRMUND,33.84,-33.84,22.65333333,30.83,7.26,348.05,0.08,0.43,2.07
WIJ95032504,PRMUND,33.83333333,-33.83333333,22.64666667,30.83,7.26,348.05,0.08,0.43,2.07
WIJ95032505,PRMUND,33.82333333,-33.82333333,22.66333333,30.83,7.26,348.05,0.08,0.43,2.07
WIJ95032506,PRMUND,33.81833333,-33.81833333,22.68666667,30.83,7.26,348.05,0.08,0.43,2.07
